Wavelength	Loss
nm	dB/m
	Bi227(K)(SM)
1000	4,1475
1000,7	4,24994
1001,4	3,89078
1002,1	4,03395
1002,8	3,55325
1003,5	4,29612
1004,2	3,62742
1004,9	3,69354
1005,6	3,84253
1006,3	3,85141
1007	4,05532
1007,7	3,79225
1008,4	4,26477
1009,1	3,39285
1009,8	3,40766
1010,5	3,76134
1011,2	3,60388
1011,9	3,22793
1012,6	3,06994
1013,3	3,10505
1014	3,07425
1014,7	2,90699
1015,4	2,96425
1016,1	2,8141
1016,8	2,80502
1017,5	2,90086
1018,2	2,63086
1018,9	2,71702
1019,6	2,60204
1020,3	2,54579
1021	2,54139
1021,7	2,47274
1022,4	2,40299
1023,1	2,37967
1023,8	2,34944
1024,5	2,2727
1025,2	2,24073
1025,9	2,21407
1026,6	2,17013
1027,3	2,12302
1028	2,05792
1028,7	2,06184
1029,4	2,01547
1030,1	1,95465
1030,8	1,96168
1031,5	1,93185
1032,2	1,88496
1032,9	1,84646
1033,6	1,82785
1034,3	1,78662
1035	1,75742
1035,7	1,73134
1036,4	1,70215
1037,1	1,66461
1037,8	1,65422
1038,5	1,64038
1039,2	1,59731
1039,9	1,5836
1040,6	1,54714
1041,3	1,51997
1042	1,5009
1042,7	1,48049
1043,4	1,45276
1044,1	1,44099
1044,8	1,41588
1045,5	1,4039
1046,2	1,37189
1046,9	1,35584
1047,6	1,33016
1048,3	1,31772
1049	1,30754
1049,7	1,2872
1050,4	1,26971
1051,1	1,25946
1051,8	1,24552
1052,5	1,22087
1053,2	1,20698
1053,9	1,19607
1054,6	1,18342
1055,3	1,17032
1056	1,15388
1056,7	1,14005
1057,4	1,1326
1058,1	1,1197
1058,8	1,10749
1059,5	1,09898
1060,2	1,0863
1060,9	1,07596
1061,6	1,06501
1062,3	1,05946
1063	1,04544
1063,7	1,03431
1064,4	1,02628
1065,1	1,02222
1065,8	1,00724
1066,5	0,99603
1067,2	0,98266
1067,9	0,97639
1068,6	0,96452
1069,3	0,96169
1070	0,94972
1070,7	0,94217
1071,4	0,9375
1072,1	0,92646
1072,8	0,91743
1073,5	0,90872
1074,2	0,90255
1074,9	0,88958
1075,6	0,88398
1076,3	0,87498
1077	0,86604
1077,7	0,86209
1078,4	0,8579
1079,1	0,85418
1079,8	0,84806
1080,5	0,84058
1081,2	0,82972
1081,9	0,82706
1082,6	0,82266
1083,3	0,81579
1084	0,81482
1084,7	0,81254
1085,4	0,808
1086,1	0,80514
1086,8	0,8044
1087,5	0,80234
1088,2	0,80497
1088,9	0,80709
1089,6	0,80987
1090,3	0,81232
1091	0,82024
1091,7	0,82725
1092,4	0,83935
1093,1	0,85144
1093,8	0,86546
1094,5	0,88335
1095,2	0,90159
1095,9	0,92137
1096,6	0,94663
1097,3	0,9734
1098	0,99857
1098,7	1,02592
1099,4	1,05609
1100,1	1,08371
1100,8	1,11347
1101,5	1,14245
1102,2	1,16376
1102,9	1,1904
1103,6	1,21206
1104,3	1,23205
1105	1,25138
1105,7	1,26641
1106,4	1,27657
1107,1	1,28666
1107,8	1,28942
1108,5	1,29521
1109,2	1,30017
1109,9	1,29923
1110,6	1,29724
1111,3	1,29953
1112	1,29653
1112,7	1,29681
1113,4	1,2923
1114,1	1,29149
1114,8	1,28391
1115,5	1,28218
1116,2	1,27443
1116,9	1,27513
1117,6	1,26907
1118,3	1,26242
1119	1,25702
1119,7	1,24955
1120,4	1,24001
1121,1	1,23009
1121,8	1,2145
1122,5	1,20131
1123,2	1,18728
1123,9	1,16842
1124,6	1,14591
1125,3	1,12753
1126	1,10372
1126,7	1,08344
1127,4	1,05547
1128,1	1,02767
1128,8	0,99803
1129,5	0,97143
1130,2	0,94604
1130,9	0,92228
1131,6	0,89522
1132,3	0,87789
1133	0,85488
1133,7	0,82931
1134,4	0,81369
1135,1	0,80826
1135,8	0,80049
1136,5	0,79598
1137,2	0,79379
1137,9	0,79346
1138,6	0,79856
1139,3	0,79533
1140	0,78878
1140,7	0,78584
1141,4	0,78749
1142,1	0,7804
1142,8	0,78554
1143,5	0,77636
1144,2	0,77927
1144,9	0,78477
1145,6	0,77777
1146,3	0,77074
1147	0,76086
1147,7	0,75607
1148,4	0,74582
1149,1	0,73615
1149,8	0,72546
1150,5	0,72424
1151,2	0,72999
1151,9	0,72913
1152,6	0,7219
1153,3	0,72322
1154	0,71962
1154,7	0,71841
1155,4	0,71489
